Category;product;Date;Price per unit;Count;promo
Масло;Масло подсолнечное;09.01.2022;157.0;14.0;МА09ЕО10
Напитки;Напитки для здоровья;28.06.2022;94.0;8.0;НА28ЯЬ60
Пищевые злаки;Мука;03.02.2022;295.0;25.0;МУ03АК20
Фрукты и овощи;Свежие овощи;21.04.2022;112.0;10.0;СВ21ИЩ40
Пищевые злаки;Органические основные продукты;22.03.2022;295.0;25.0;ОР22ЫТ30
Пищевые злаки;Органические основные продукты;29.04.2022;289.0;25.0;ОР29ЫТ40
Фрукты и овощи;Свежие овощи;16.06.2022;104.0;9.0;СВ16ИЩ60
Фрукты и овощи;Свежие фрукты;26.05.2022;231.0;20.0;СВ26ЫТ50
Хлебобулочные изделия;Печенье;04.05.2022;99.0;9.0;ПЕ04ЕЬ50
Выпечка;Торты;11.01.2022;225.0;19.0;ТО11ЫТ10
Закуски;Шоколадные конфеты;27.05.2022;238.0;20.0;ШО27ЫТ50
Яйца, мясо и рыба;Яйца;18.04.2022;88.0;8.0;ЯЙ18АЦ40
Закуски;Печенье;15.06.2022;208.0;18.0;ПЕ15ЕЬ60
Фрукты и овощи;Свежие овощи;29.01.2022;160.0;14.0;СВ29ИЩ10
Яйца, мясо и рыба;Курица;27.04.2022;104.0;9.0;КУ27АЦ40
Масло;Топленое масло;22.03.2022;180.0;15.0;ТО22ОЛ30
Выпечка;Торты;17.04.2022;210.0;18.0;ТО17ЫТ40
Напитки;Напитки для здоровья;04.05.2022;203.0;17.0;НА04ЯЬ50
Яйца, мясо и рыба;Баранина;05.01.2022;220.0;19.0;БА05АН10
Напитки;Безалкогольные напитки;24.01.2022;87.0;8.0;БЕ24ИК10
Напитки;Напитки для здоровья;27.05.2022;66.0;6.0;НА27ЯЬ50
Пищевые злаки;Крупы и бобовые;17.05.2022;119.0;10.0;КР17ЕЫ50
Напитки;Безалкогольные напитки;16.02.2022;89.0;8.0;БЕ16ИК20
Фрукты и овощи;Органические овощи;26.01.2022;122.0;11.0;ОР26ИЩ10
Яйца, мясо и рыба;Яйца;11.03.2022;138.0;12.0;ЯЙ11АЦ30
Закуски;Шоколадные конфеты;10.06.2022;253.0;22.0;ШО10ЫТ60
Закуски;Печенье;30.03.2022;68.0;6.0;ПЕ30ЕЬ30
Хлебобулочные изделия;Печенье;19.01.2022;123.0;11.0;ПЕ19ЕЬ10
Напитки;Прохладительные напитки;13.03.2022;249.0;21.0;ПР13ИК30
Масло;Подсолнечное масло;24.01.2022;124.0;11.0;ПО24ОЛ10
Напитки;Безалкогольные напитки;15.01.2022;231.0;20.0;БЕ15ИК10
Закуски;Лапша;09.05.2022;175.0;15.0;ЛА09АШ50
Масло;Топленое масло;16.04.2022;271.0;23.0;ТО16ОЛ40
Масло;Подсолнечное масло;27.03.2022;212.0;18.0;ПО27ОЛ30
Напитки;Напитки для здоровья;13.06.2022;102.0;9.0;НА13ЯЬ60
Яйца, мясо и рыба;Яйца;23.01.2022;159.0;14.0;ЯЙ23АЦ10
Напитки;Безалкогольные напитки;23.05.2022;117.0;10.0;БЕ23ИК50
Фрукты и овощи;Органические овощи;22.03.2022;170.0;15.0;ОР22ИЩ30
Фрукты и овощи;Свежие фрукты;16.01.2022;219.0;19.0;СВ16ЫТ10
Яйца, мясо и рыба;Курица;01.02.2022;256.0;22.0;КУ01АЦ20
Напитки;Напитки для здоровья;25.06.2022;83.0;7.0;НА25ЯЬ60
Напитки;Прохладительные напитки;10.04.2022;234.0;20.0;ПР10ИК40
Закуски;Печенье;05.03.2022;128.0;11.0;ПЕ05ЕЬ30
Закуски;Печенье;11.06.2022;289.0;25.0;ПЕ11ЕЬ60
Хлебобулочные изделия;Печенье;18.06.2022;208.0;18.0;ПЕ18ЕЬ60
Яйца, мясо и рыба;Яйца;29.03.2022;178.0;15.0;ЯЙ29АЦ30
Фрукты и овощи;Органические овощи;01.02.2022;177.0;15.0;ОР01ИЩ20
Закуски;Лапша;17.05.2022;186.0;16.0;ЛА17АШ50
Закуски;Лапша;31.01.2022;91.0;8.0;ЛА31АШ10
Хлебобулочные изделия;Торты;12.02.2022;158.0;14.0;ТО12ЫТ20
Напитки;Безалкогольные напитки;18.05.2022;113.0;10.0;БЕ18ИК50
Напитки;Прохладительные напитки;28.03.2022;289.0;25.0;ПР28ИК30
Хлебобулочные изделия;Торты;22.03.2022;178.0;15.0;ТО22ЫТ30
Фрукты и овощи;Свежие овощи;23.01.2022;79.0;7.0;СВ23ИЩ10
Фрукты и овощи;Органические фрукты;04.02.2022;95.0;8.0;ОР04ЫТ20
Пищевые злаки;Мука;05.01.2022;294.0;25.0;МУ05АК10
Яйца, мясо и рыба;Рыба;27.04.2022;148.0;13.0;РЫ27АБ40
Пищевые злаки;Крупа;21.01.2022;203.0;17.0;КР21АП10
Яйца, мясо и рыба;Баранина;30.03.2022;165.0;14.0;БА30АН30
Напитки;Напитки для здоровья;27.04.2022;266.0;23.0;НА27ЯЬ40
Масло;Подсолнечное масло;26.02.2022;179.0;15.0;ПО26ОЛ20
Закуски;Лапша;09.06.2022;89.0;8.0;ЛА09АШ60
Яйца, мясо и рыба;Рыба;13.05.2022;116.0;10.0;РЫ13АБ50
Фрукты и овощи;Свежие фрукты;29.04.2022;218.0;19.0;СВ29ЫТ40
Яйца, мясо и рыба;Яйца;18.03.2022;76.0;7.0;ЯЙ18АЦ30
Яйца, мясо и рыба;Баранина;04.06.2022;228.0;19.0;БА04АН60
Злаки;Мука;26.04.2022;171.0;15.0;МУ26АК40
Фрукты и овощи;Свежие овощи;10.06.2022;145.0;13.0;СВ10ИЩ60
Пищевые злаки;Мука;27.04.2022;162.0;14.0;МУ27АК40
Масло;Подсолнечное масло;07.01.2022;154.0;13.0;ПО07ОЛ10
Яйца, мясо и рыба;Баранина;15.01.2022;125.0;11.0;БА15АН10
Закуски;Лапша;12.06.2022;309.0;26.0;ЛА12АШ60
Закуски;Печенье;23.04.2022;91.0;8.0;ПЕ23ЕЬ40
Фрукты и овощи;Органические овощи;09.03.2022;297.0;25.0;ОР09ИЩ30
Напитки;Прохладительные напитки;27.03.2022;246.0;21.0;ПР27ИК30
Напитки;Безалкогольные напитки;15.05.2022;187.0;16.0;БЕ15ИК50
Фрукты и овощи;Органические фрукты;17.03.2022;157.0;14.0;ОР17ЫТ30
Закуски;Лапша;10.06.2022;170.0;15.0;ЛА10АШ60
Закуски;Печенье;30.03.2022;90.0;8.0;ПЕ30ЕЬ30
Фрукты и овощи;Органические фрукты;10.03.2022;288.0;24.0;ОР10ЫТ30
Напитки;Напитки для здоровья;14.02.2022;254.0;22.0;НА14ЯЬ20
Пищевые злаки;Мука;02.01.2022;218.0;19.0;МУ02АК10
Масло;Специи;05.03.2022;124.0;11.0;СП05ИИ30
Напитки;Прохладительные напитки;28.03.2022;295.0;25.0;ПР28ИК30
Фрукты и овощи;Органические фрукты;28.04.2022;131.0;11.0;ОР28ЫТ40
Масло;Специи;10.06.2022;267.0;23.0;СП10ИИ60
Пищевые злаки;Рис;13.06.2022;220.0;19.0;РИ13СИ60
Яйца, мясо и рыба;Яйца;31.03.2022;208.0;18.0;ЯЙ31АЦ30
Выпечка;Хлеб и булочки;25.05.2022;264.0;22.0;ХЛ25ИК50
Пищевые злаки;Крупа;08.03.2022;235.0;20.0;КР08АП30
Яйца, мясо и рыба;Курица;13.06.2022;97.0;9.0;КУ13АЦ60
Напитки;Напитки для здоровья;01.06.2022;156.0;13.0;НА01ЯЬ60
Пищевые злаки;Мука;03.05.2022;266.0;23.0;МУ03АК50
Фрукты и овощи;Свежие фрукты;11.04.2022;283.0;24.0;СВ11ЫТ40
Закуски;Шоколадные конфеты;31.01.2022;161.0;14.0;ШО31ЫТ10
Яйца, мясо и рыба;Рыба;30.04.2022;154.0;13.0;РЫ30АБ40
Пищевые злаки;Мука;28.06.2022;232.0;20.0;МУ28АК60
Фрукты и овощи;Свежие фрукты;20.06.2022;69.0;6.0;СВ20ЫТ60
